volatile acidity,citric acid,density,sulphates,alcohol,quality
0.5,0.04,0.99647,0.47,10.0,5.0
0.42,0.47,0.99736,0.77,12.1,7.0
0.66,0.0,0.99629,0.63,10.3,5.0
0.5,0.45,0.99708,0.72,10.9,6.0
0.685,0.35,0.9963,0.62,9.4,5.0
0.25,0.46,0.9959,0.83,10.6,6.0
0.64,0.21,0.99689,0.66,9.8,5.0
0.68,0.16,0.9977,0.7,9.9,6.0
0.63,0.21,0.99689,0.66,9.8,5.0
0.43,0.44,0.99708,0.55,9.5,5.0
0.36,0.39,0.99652,0.73,10.9,6.0
0.735,0.02,0.99538,0.71,11.7,7.0
0.26,0.34,0.99594,0.78,11.3,7.0
0.28,0.47,0.99686,0.67,10.6,7.0
0.56,0.22,0.99438,0.82,11.2,6.0
0.62,0.06,0.99746,0.54,9.5,5.0
1.01,0.66,0.99357,0.6,11.5,6.0
0.42,0.32,0.99628,0.44,10.4,5.0
0.62,0.06,0.99746,0.53,9.7,5.0
0.635,0.07,0.99748,0.54,9.7,5.0
0.49,0.22,0.99438,0.83,11.3,6.0
0.51,0.23,0.99438,0.84,11.2,6.0
0.63,0.03,0.99578,0.64,10.9,6.0
0.715,0.01,0.99371,0.57,11.8,6.0
0.56,0.03,0.99522,0.57,10.6,5.0
0.35,0.24,0.99576,0.54,10.0,4.0
0.21,0.37,0.99552,0.58,11.1,7.0
0.38,0.46,0.99664,0.65,11.8,7.0
0.31,0.4,0.99614,0.79,11.8,7.0
0.47,0.0,0.99517,0.58,10.9,4.0
0.6,0.04,0.99745,0.55,9.5,5.0
0.56,0.18,0.99576,0.49,9.9,5.0
0.715,0.0,0.99533,0.65,11.4,6.0
0.75,0.14,0.99824,0.64,10.5,5.0
0.8,0.12,0.99836,0.65,10.4,6.0
0.52,0.38,0.99577,0.79,12.1,7.0
0.57,0.0,0.99491,0.56,11.2,6.0
0.34,0.24,0.99576,0.58,10.1,5.0
0.66,0.03,0.99743,0.57,9.7,5.0
0.45,0.23,0.99774,0.65,9.3,6.0
0.63,0.03,0.99745,0.58,9.8,6.0
0.59,0.01,0.9955,0.58,10.7,6.0
0.31,0.39,0.99444,0.77,12.5,7.0
0.31,0.36,0.99562,0.69,11.8,5.0
0.635,0.1,0.99736,0.69,10.8,7.0
0.58,0.2,0.998,0.59,9.5,5.0
0.54,0.27,0.9964,0.71,11.0,5.0
0.56,0.0,0.9948,0.54,11.5,6.0
0.52,0.13,0.99528,0.59,10.8,6.0
0.305,0.39,0.99331,0.52,11.5,6.0
0.46,0.44,0.99674,0.62,12.2,6.0
0.315,0.4,0.99512,0.67,11.9,6.0
0.36,0.32,0.9964,0.72,11.0,6.0
0.62,0.12,0.99504,0.89,11.8,6.0
0.41,0.37,0.99786,0.56,10.5,5.0
0.47,0.27,0.99516,0.8,11.2,5.0
0.67,0.19,0.99736,0.59,9.2,4.0
0.33,0.38,0.99468,0.73,12.0,7.0
0.61,0.01,0.99748,0.65,9.8,5.0
0.4,0.29,0.9971,0.59,9.5,6.0
0.3,0.38,0.99543,0.72,11.8,6.0
0.63,0.5,0.99791,0.6,10.4,4.0
0.38,0.38,0.99356,0.72,12.9,7.0
0.46,0.17,0.99425,0.54,11.4,5.0
0.33,0.52,0.99509,0.76,12.4,7.0
0.43,0.4,0.99834,0.64,10.0,7.0
0.5,0.34,0.99864,0.6,9.7,7.0
0.44,0.42,0.99566,0.79,11.1,7.0
0.28,0.48,0.99408,0.62,12.4,7.0
0.12,0.45,0.99552,0.76,11.9,7.0
0.31,0.4,0.99536,0.68,11.2,7.0
0.34,0.48,0.99458,0.69,12.1,7.0
0.43,0.4,0.99538,0.54,12.2,6.0
0.21,0.52,0.99648,0.67,10.4,5.0
0.36,0.52,0.99568,0.62,11.3,6.0
0.37,0.52,0.99613,0.58,11.1,6.0
0.57,0.12,0.99519,0.71,11.3,7.0
0.59,0.05,0.99735,0.61,10.0,5.0
0.47,0.27,0.99518,0.85,11.1,6.0
0.56,0.14,0.99592,0.62,9.3,5.0
0.57,0.02,0.99654,0.69,9.5,5.0
0.27,0.39,0.99546,0.69,11.2,6.0
0.34,0.4,0.99554,0.86,11.0,6.0
0.38,0.41,0.99604,0.58,11.9,7.0
0.66,0.2,0.99733,0.48,9.2,5.0
0.4,0.43,0.9943,0.6,12.2,6.0
0.56,0.09,0.99669,0.61,10.2,5.0
0.26,0.48,0.99724,0.87,10.9,6.0
0.38,0.5,0.99643,0.65,11.6,7.0
0.34,0.44,0.99605,0.63,10.7,5.0
0.41,0.3,0.997,0.52,9.4,5.0
0.59,0.29,0.99801,0.5,9.1,5.0
0.4,0.32,0.99416,0.49,11.3,7.0
0.45,0.49,0.9969,0.63,10.4,5.0
0.5,0.3,0.99774,0.71,10.5,6.0
0.86,0.26,0.99712,0.62,10.0,5.0
0.58,0.0,0.99562,0.58,11.3,6.0
0.34,0.39,0.9947,0.55,11.4,7.0
0.36,0.3,0.99693,0.5,9.4,5.0
0.39,0.12,0.99596,0.49,9.4,5.0
0.295,0.4,0.99556,0.51,10.9,6.0
0.34,0.28,0.99694,0.48,9.4,5.0
0.4,0.1,0.99554,0.48,9.4,6.0
0.35,0.45,0.99918,0.43,9.4,5.0
0.6,0.06,0.99697,0.62,10.1,6.0
0.84,0.34,0.99554,0.48,9.1,6.0
0.43,0.3,0.99495,0.72,11.5,7.0
0.35,0.38,0.99676,0.82,10.6,7.0
0.29,0.33,0.99516,0.84,11.7,7.0
0.36,0.32,0.9928,0.55,12.8,7.0
0.43,0.29,0.99603,0.54,10.3,5.0
0.3,0.34,0.99516,0.84,11.7,7.0
0.35,0.4,0.99549,0.7,12.0,7.0
0.5,0.36,0.99722,0.68,10.9,5.0
0.28,0.45,0.99354,0.55,12.3,7.0
0.32,0.31,0.9957,0.55,10.4,6.0
1.005,0.15,0.99604,0.48,10.0,5.0
0.71,0.0,0.99635,0.58,10.0,6.0
0.58,0.16,0.99454,0.58,11.2,6.0
0.39,0.46,0.99598,0.84,11.4,6.0
0.38,0.4,0.99486,0.75,12.6,7.0
0.5,0.14,0.99636,0.61,10.4,5.0
0.51,0.09,0.99584,0.54,10.5,5.0
0.32,0.42,0.99506,0.55,12.3,6.0
0.58,0.01,0.99568,0.56,10.5,7.0
0.83,0.0,0.99822,0.6,10.4,6.0
0.31,0.32,0.99364,0.56,12.6,6.0
0.795,0.0,0.99378,0.52,11.6,5.0
0.34,0.21,0.99586,0.54,10.1,6.0
0.59,0.0,0.99488,0.55,11.5,7.0
0.55,0.01,0.99514,0.58,11.0,7.0
0.57,0.08,0.99592,0.59,10.4,6.0
0.745,0.18,0.99739,0.47,9.7,6.0
0.37,0.34,0.99683,0.65,10.6,7.0
0.31,0.34,0.99356,0.59,12.5,7.0
0.91,0.1,0.99672,0.56,9.2,5.0
0.5,0.21,0.99692,0.83,11.1,6.0
0.965,0.0,0.99756,0.67,10.2,5.0
0.49,0.19,0.99547,0.64,9.8,6.0
0.39,0.33,0.99294,0.62,12.2,6.0
0.44,0.0,0.99438,0.58,11.4,6.0
0.78,0.0,0.99612,0.62,10.7,6.0
0.43,0.17,0.99634,0.64,10.4,5.0
0.49,0.36,0.99702,0.78,10.9,6.0
0.5,0.36,0.99704,0.77,10.8,6.0
0.605,0.05,0.99258,0.55,12.9,5.0
0.33,0.42,0.99426,0.77,12.7,7.0
0.64,0.27,0.99747,0.62,9.1,6.0
0.53,0.57,0.9971,0.76,11.6,7.0
0.23,0.57,0.9981,0.7,9.9,6.0
0.38,0.44,0.9956,0.64,11.4,6.0
0.29,0.65,0.99565,0.63,11.8,6.0
0.74,0.09,0.99418,0.57,11.8,6.0
0.61,0.18,0.9963,0.6,10.2,6.0
0.52,0.08,0.99358,0.72,12.5,7.0
0.31,0.53,0.99572,0.83,10.9,7.0
0.62,0.35,0.997,0.62,10.8,5.0
0.33,0.45,0.99498,0.89,11.1,7.0
0.35,0.26,0.9968,0.58,9.5,6.0
0.62,0.33,0.9972,0.58,10.7,6.0
0.32,0.56,0.99534,0.73,11.4,6.0
0.27,0.56,0.99471,0.51,11.8,6.0
0.38,0.3,0.99685,0.59,9.5,6.0
0.42,0.45,0.99617,0.77,12.0,6.0
0.48,0.08,0.99529,0.49,9.6,5.0
0.19,0.42,0.994,0.69,11.2,6.0
0.41,0.54,0.99735,0.76,9.9,7.0
0.34,0.42,0.99546,0.6,11.4,6.0
0.54,0.09,0.99479,0.59,11.5,6.0
0.31,0.36,0.99615,0.86,12.0,7.0
0.4,0.47,0.99772,0.5,10.5,5.0
0.52,0.38,0.99666,0.52,9.4,5.0
0.34,0.42,0.99392,0.78,12.4,6.0
0.49,0.27,0.99388,0.63,12.0,6.0
0.48,0.09,0.99402,0.54,11.2,6.0
0.48,0.34,0.9936,0.66,12.4,6.0
0.57,0.28,0.99374,0.6,12.8,5.0
0.23,0.42,0.99376,0.54,12.3,6.0
0.3,0.41,0.99523,0.85,11.7,7.0
0.78,0.1,0.99855,0.49,9.5,5.0
0.53,0.0,0.99593,0.64,10.0,6.0
0.33,0.41,0.99396,0.71,11.0,6.0
0.24,0.39,0.99698,0.59,9.5,6.0
0.69,0.07,0.99572,0.6,11.3,6.0
0.39,0.12,0.99252,0.53,13.3,6.0
0.66,0.0,0.99256,0.58,12.9,5.0
0.5,0.0,0.99352,0.55,12.3,6.0
0.4,0.37,0.99674,0.65,11.2,6.0
0.58,0.0,0.99557,0.62,11.5,4.0
0.24,0.35,0.99394,0.59,11.3,7.0
0.76,0.0,0.99379,0.6,11.5,6.0
0.43,0.33,0.9984,0.68,10.0,5.0
0.43,0.35,0.99798,0.69,10.5,6.0
0.6,0.0,0.9977,0.63,10.4,6.0
0.28,0.35,0.99524,0.74,11.8,7.0
0.25,0.43,0.9946,0.6,11.9,6.0
0.52,0.45,0.99774,0.76,11.4,6.0
0.51,0.24,0.99764,0.64,9.5,6.0
0.4,0.3,0.9969,0.65,9.5,6.0
0.38,0.32,0.99624,0.85,11.0,6.0
0.45,0.11,0.99354,0.65,11.4,6.0
0.22,0.3,0.99672,0.82,10.0,6.0
0.32,0.23,0.99588,0.62,10.1,5.0
0.2,0.43,0.99672,0.81,10.4,6.0
0.39,0.42,0.99526,0.66,11.6,6.0
0.35,0.47,0.99585,0.52,12.0,6.0
0.33,0.32,0.99473,0.76,12.8,7.0
0.58,0.23,0.99352,0.65,12.5,6.0
0.6,0.25,0.99616,0.53,9.8,5.0
0.42,0.35,0.99622,0.66,11.1,6.0
0.51,0.18,0.9924,0.87,12.9,7.0
0.41,0.43,0.99728,0.67,10.8,5.0
0.36,0.57,0.99676,0.72,11.1,7.0
0.45,0.43,0.99551,0.75,10.2,6.0
0.32,0.42,0.99434,0.71,11.8,7.0
0.785,0.24,0.99692,0.67,10.0,5.0
0.54,0.26,0.99709,0.98,10.2,5.0
0.33,0.39,0.99528,0.88,12.4,7.0
0.34,0.27,0.99384,0.56,12.0,6.0
0.5,0.29,0.99502,0.62,11.5,6.0
0.36,0.34,0.99667,0.67,10.5,6.0
0.59,0.0,0.99522,0.68,10.8,6.0
0.42,0.46,0.99649,0.74,12.3,6.0
0.36,0.31,0.99716,0.62,9.5,6.0
0.66,0.0,0.99318,0.66,12.7,7.0
0.915,0.0,0.99346,0.73,11.4,5.0
0.35,0.33,0.99599,0.81,11.0,6.0
0.39,0.43,0.99478,0.46,11.4,5.0
0.4,0.4,0.99754,0.86,10.5,6.0
0.66,0.07,0.99572,0.6,9.3,5.0
0.64,0.23,0.99538,0.7,10.9,5.0
0.43,0.3,0.99346,0.46,11.9,6.0
0.955,0.05,0.99616,0.44,9.6,4.0
0.25,0.37,0.99439,0.8,12.4,7.0
0.745,0.12,0.99588,0.59,9.5,6.0
0.43,0.22,0.99633,0.6,9.5,6.0
0.58,0.23,0.99686,0.58,9.5,6.0
0.57,0.21,0.99458,0.54,9.8,6.0
0.26,0.26,0.9951,0.79,10.9,6.0
0.34,0.36,0.99419,0.54,11.2,7.0
0.36,0.46,0.99534,0.85,11.0,7.0
0.39,0.43,0.99428,0.87,11.2,7.0
0.65,0.02,0.99498,0.62,10.4,6.0
0.44,0.15,0.9957,0.62,9.3,5.0
0.38,0.42,0.99659,0.75,10.5,6.0
0.33,0.46,0.99628,0.48,10.4,6.0
0.27,0.46,0.99488,0.56,11.3,6.0
0.57,0.31,0.99677,0.69,9.5,6.0
0.4,0.31,0.996,0.69,10.6,6.0
0.39,0.4,0.99478,0.83,10.9,6.0
0.53,0.22,0.99678,0.46,9.6,6.0
0.36,0.47,0.99638,0.76,12.0,6.0
0.46,0.23,0.99922,0.51,9.4,5.0
0.58,0.25,0.99769,0.72,9.6,5.0
0.43,0.29,0.99718,0.64,9.5,5.0
0.18,0.34,0.9947,0.78,11.8,6.0
0.23,0.37,0.99614,0.49,9.3,4.0
0.75,0.01,0.99242,0.4,12.8,6.0
0.55,0.0,0.99659,0.64,9.4,6.0
0.73,0.0,0.99798,0.46,9.6,4.0
0.61,0.2,0.99494,0.4,9.3,5.0
0.37,0.39,0.99729,0.59,9.8,5.0
0.4,0.41,0.99414,0.6,12.2,6.0
0.56,0.22,0.9983,0.62,9.5,5.0
0.55,0.19,0.99655,0.68,10.5,5.0
0.74,0.07,0.99502,0.48,10.0,5.0
0.41,0.33,0.9949,0.75,11.1,6.0
0.6,0.01,0.99514,0.61,10.9,6.0
0.58,0.14,0.9963,0.59,9.8,5.0
0.66,0.0,0.99569,0.58,9.5,5.0
0.7,0.06,0.99628,0.69,10.9,5.0
0.64,0.02,0.99358,0.45,11.0,5.0
0.45,0.38,0.99726,0.58,9.8,5.0
0.78,0.0,0.9978,0.46,9.6,4.0
0.37,0.32,0.99456,0.72,11.8,6.0
0.57,0.05,0.99564,0.6,10.3,6.0
0.43,0.5,0.996,0.87,11.4,6.0
0.41,0.31,0.99668,0.55,9.5,6.0
0.44,0.2,0.9935,0.57,11.7,6.0
0.46,0.0,0.99385,0.53,11.2,5.0
0.58,0.2,0.99494,0.43,9.3,5.0
0.58,0.13,0.9944,0.53,11.2,6.0
0.715,0.22,0.99688,0.54,9.5,6.0
0.69,0.0,0.99636,0.6,9.7,6.0
0.3,0.39,0.9948,0.57,11.5,7.0
0.46,0.2,0.9956,0.64,10.4,6.0
0.765,0.0,0.99619,0.68,10.9,6.0
0.63,0.28,0.99734,0.63,10.2,6.0
0.42,0.19,0.99476,0.56,10.9,5.0
0.37,0.5,0.99734,0.57,10.5,5.0
0.16,0.44,0.99328,0.54,12.4,6.0
0.6,0.08,0.99286,0.37,13.0,5.0
0.74,0.0,0.99521,0.59,11.0,5.0
0.635,0.1,0.99638,0.75,10.9,6.0
0.395,0.13,0.99362,0.67,12.4,6.0
0.755,0.0,0.99672,0.49,9.7,4.0
0.53,0.14,0.99323,0.61,12.1,6.0
0.86,0.07,0.99598,0.74,11.7,6.0
0.37,0.32,0.99576,0.8,11.2,6.0
0.28,0.44,0.99501,0.66,11.2,5.0
0.79,0.21,0.9955,0.44,9.2,5.0
0.61,0.26,0.99612,0.53,9.8,5.0
0.69,0.32,0.9979,0.62,10.1,5.0
0.62,0.1,0.996,0.61,9.2,5.0
0.51,0.15,0.9929,0.59,12.8,6.0
0.36,0.21,0.99558,0.54,10.1,6.0
0.36,0.21,0.99556,0.53,10.1,6.0
0.63,0.27,0.99616,0.58,9.8,6.0
0.44,0.46,0.99638,0.69,11.9,6.0
0.66,0.34,0.99796,0.66,10.1,5.0
0.34,0.42,0.99392,0.55,11.4,5.0
0.36,0.39,0.99495,0.82,11.0,7.0
0.46,0.24,0.9948,0.6,10.6,6.0
0.52,0.11,0.9955,0.52,9.3,5.0
0.6,0.26,0.99616,0.56,9.8,6.0
0.39,0.1,0.99581,0.43,9.7,6.0
0.775,0.22,0.9976,0.51,9.6,5.0
0.58,0.02,0.99387,0.66,12.6,6.0
0.5,0.0,0.99448,0.45,9.5,5.0
0.51,0.02,0.99538,0.54,10.5,6.0
0.54,0.02,0.99589,0.51,10.4,6.0
0.42,0.48,0.99852,0.53,11.0,5.0
0.44,0.24,0.99613,0.53,10.2,6.0
0.59,0.01,0.99472,0.56,11.4,5.0
0.655,0.03,0.99587,0.39,9.5,5.0
0.57,0.0,0.99518,0.52,10.8,5.0
0.6,0.29,0.99654,0.57,10.0,5.0
0.62,0.01,0.99332,0.51,11.8,6.0
0.645,0.03,0.9969,0.46,10.3,5.0
0.58,0.03,0.99568,0.52,10.0,5.0
0.32,0.25,0.99464,0.44,10.1,5.0
0.34,0.25,0.99464,0.44,10.1,5.0
0.43,0.24,0.99648,0.59,11.1,6.0
0.475,0.4,0.99704,0.65,10.0333333333333,6.0
0.54,0.31,0.99699,0.56,10.9,5.0
0.85,0.14,0.99724,0.54,10.1,5.0
0.83,0.27,0.99652,0.48,9.8,4.0
0.605,0.02,0.995,0.53,11.8,6.0
0.5,0.09,0.9971,0.62,9.5,5.0
0.74,0.08,0.99576,0.5,9.8,5.0
0.77,0.32,0.99656,0.5,9.8,6.0
0.61,0.0,0.99396,0.37,10.4,4.0
0.56,0.26,0.99586,0.52,9.9,5.0
0.885,0.2,0.9946,0.46,10.0,5.0
0.45,0.15,0.99609,0.51,9.9,6.0
0.57,0.02,0.99557,0.62,10.8,6.0
0.83,0.09,0.99534,0.45,9.6,5.0
0.6,0.22,0.99613,0.49,9.9,5.0
0.755,0.15,0.99593,0.5,9.5,5.0
0.81,0.25,0.99668,0.42,9.2,5.0
0.64,0.07,0.9961,0.58,9.6,5.0
0.48,0.02,0.99524,0.53,9.7,5.0
0.49,0.0,0.99292,0.59,12.5,6.0
0.64,0.22,0.99612,0.58,11.0,5.0
0.62,0.06,0.9942,0.48,9.8,5.0
0.52,0.25,0.99612,0.48,10.2,5.0
0.685,0.1,0.99745,0.65,9.55,6.0
0.675,0.1,0.99745,0.65,9.55,5.0
0.59,0.26,0.99584,0.52,9.9,5.0
0.6,0.12,0.9966,0.62,10.2,7.0
0.67,0.0,0.9956,0.72,11.1,6.0
0.3,0.42,0.9963,0.82,11.9,6.0
0.5,0.39,0.9985,0.62,10.7,6.0
0.28,0.3,0.9952,0.9,11.3,7.0
0.51,0.0,0.995,0.93,10.7,6.0
0.96,0.0,0.9936,0.44,11.9,6.0
0.47,0.4,0.9963,0.73,10.6,6.0
0.57,0.25,0.9963,0.9,10.1,5.0
0.32,0.59,0.9994,0.78,9.6,5.0
0.58,0.0,0.9966,0.84,9.4,5.0
0.34,0.33,0.9952,0.77,12.1,7.0
0.53,0.01,0.995,0.46,9.8,5.0
0.4,0.18,0.9965,0.58,9.4,5.0
0.54,0.0,0.9956,0.84,11.4,6.0
0.26,0.37,0.9974,0.7,9.6,6.0
0.23,0.37,0.9971,0.71,12.1,6.0
0.41,0.33,0.9957,0.58,11.2,5.0
0.64,0.0,0.9962,0.63,11.0,5.0
0.18,0.4,0.996,0.93,11.3,5.0
0.41,0.24,0.9956,0.62,10.4,5.0
0.43,0.31,0.9958,0.54,9.9,6.0
0.44,0.0,0.9944,0.85,11.7,6.0
0.4,0.16,0.9955,0.74,10.1,7.0
0.59,0.0,0.996,0.47,10.3,5.0
0.67,0.02,0.99566,0.68,11.066666666666698,6.0
0.37,0.32,0.9947,0.73,11.3,7.0
0.63,0.02,0.99712,0.75,9.8,5.0
0.58,0.2,0.99322,0.49,11.7,5.0
0.67,0.02,0.99566,0.68,11.1,6.0
0.67,0.0,0.99701,0.74,9.7,5.0
0.58,0.01,0.99683,0.73,9.7,5.0
0.32,0.44,0.99732,0.78,11.0,7.0
0.58,0.02,0.99374,0.76,11.6,7.0
0.49,0.33,0.99706,0.58,9.0,5.0
0.45,0.63,0.99974,0.69,10.9,6.0
0.9,0.0,0.99467,0.63,10.9,6.0
0.54,0.06,0.99236,0.5,10.55,6.0
0.29,0.4,0.99603,0.6,10.5,5.0
0.2,0.35,0.99458,0.8,11.9,7.0
0.42,0.09,0.99724,0.68,10.4,6.0
0.785,0.0,0.99664,0.61,10.0,4.0
0.64,0.03,0.99545,0.58,10.4,6.0
0.63,0.01,0.99522,0.53,10.8,6.0
0.59,0.1,0.9958,0.67,9.7,5.0
0.48,0.32,0.99728,0.65,10.0,7.0
0.35,0.6,0.99656,0.79,11.1,6.0
0.6,0.08,0.99336,0.54,11.0,5.0
0.28,0.6,0.99828,0.68,10.6,5.0
0.62,0.03,0.99498,0.62,10.1,4.0
0.58,0.54,0.99719,0.57,10.3,4.0
0.33,0.44,0.99542,0.61,10.7,5.0
0.91,0.06,0.99592,0.64,10.9,4.0
0.655,0.16,0.99606,0.55,9.7,5.0
0.68,0.21,0.99546,0.6,10.3,5.0
0.64,0.05,0.99496,0.78,10.6,5.0
0.57,0.1,0.99448,0.76,10.8,6.0
0.22,0.49,0.99344,0.56,12.4,6.0
0.65,0.06,0.99348,0.54,11.95,5.0
0.31,0.09,0.99459,0.7,10.0,7.0
0.43,0.02,0.99492,0.81,10.6,6.0
0.74,0.03,0.99508,0.63,11.5,6.0
0.895,0.04,0.99582,0.58,10.8,6.0
0.725,0.04,0.99508,0.53,9.6,5.0
0.585,0.18,0.99638,0.54,9.8,5.0
0.44,0.39,0.99555,0.69,11.0,6.0
0.38,0.57,0.99605,0.55,11.4,6.0
0.81,0.05,0.99562,0.66,10.8,6.0
0.27,0.6,0.99814,0.72,10.6,6.0
0.18,0.4,0.9941,0.7,11.1,5.0
0.36,0.21,0.99661,0.77,9.7,6.0
0.69,0.04,0.99712,0.67,9.8,5.0
0.79,0.04,0.99588,0.65,10.4,6.0
0.56,0.15,0.99294,0.6,10.5,6.0
0.32,0.25,0.99633,0.97,10.6,5.0
0.53,0.06,0.99489,0.83,10.3,6.0
0.47,0.46,0.99647,0.63,10.5,5.0
0.7,0.08,0.99665,0.58,10.2,5.0
0.48,0.2,0.99585,0.43,9.05,4.0
0.48,0.25,0.9953,0.6,10.4,5.0
0.42,0.19,0.99522,0.78,10.0,6.0
0.48,0.08,0.99552,0.64,9.7,5.0
0.47,0.08,0.99553,0.65,9.6,6.0
0.53,0.07,0.9951,0.66,10.8,6.0
0.29,0.49,0.99714,0.67,10.1,6.0
0.69,0.08,0.99608,0.6,10.2,6.0
0.44,0.09,0.99444,0.69,11.3,6.0
0.705,0.1,0.99631,0.66,10.2,5.0
0.53,0.13,0.99573,0.68,9.9,6.0
0.39,0.3,0.99717,0.61,9.0,5.0
0.56,0.14,0.99397,0.62,11.7,7.0
0.55,0.13,0.9959,0.59,9.7,6.0
0.53,0.08,0.99528,0.68,10.3,6.0
0.58,0.08,0.99484,0.64,10.2,6.0
0.64,0.09,0.99538,0.63,12.0,5.0
0.39,0.32,0.99714,0.78,9.9,5.0
0.25,0.29,0.99666,0.76,10.9,7.0
0.855,0.02,0.99472,0.56,10.75,6.0
0.44,0.42,0.99758,0.57,10.4,6.0
0.37,0.43,0.9955,0.81,11.2,7.0
0.63,0.33,0.99531,0.64,10.1,6.0
0.57,0.02,0.99575,0.61,10.2,5.0
0.6,0.1,0.99306,0.51,12.1,5.0
0.4,0.5,0.99783,0.58,10.4,5.0
0.68,0.0,0.99783,0.53,9.5,5.0
0.67,0.0,0.99768,0.54,9.4,5.0
0.735,0.0,0.99765,0.6,9.4,5.0
0.855,0.02,0.99627,0.6,11.0,6.0
0.56,0.17,0.99514,0.68,10.55,7.0
0.88,0.04,0.99636,0.56,9.9,5.0
0.695,0.13,0.99546,0.54,10.1,5.0
0.67,0.02,0.99489,0.82,10.9,6.0
0.16,0.64,0.99494,0.71,11.2,6.0
0.56,0.13,0.99629,0.59,9.2,5.0
0.51,0.14,0.99396,0.57,11.5,6.0
0.69,0.32,0.99632,0.51,9.5,5.0
0.58,0.2,0.99467,0.67,12.5,6.0
0.52,0.4,0.99474,0.64,11.8,6.0
0.3,0.63,0.99588,0.78,10.8,6.0
0.67,0.15,0.9954,0.67,11.3,6.0
0.56,0.09,0.99402,0.6,11.3,5.0
0.35,0.33,0.9947,0.6,11.9,6.0
0.715,0.1,0.99362,0.5,11.9,5.0
0.46,0.29,0.99578,0.62,9.8,5.0
0.32,0.44,0.99484,0.8,11.6,7.0
0.39,0.44,0.99494,0.84,11.5,6.0
0.31,0.41,0.99492,0.85,11.4,6.0
0.61,0.11,0.99483,0.66,10.9,6.0
0.66,0.33,0.99414,0.78,12.8,6.0
0.55,0.15,0.99314,0.82,11.6,6.0
0.74,0.09,0.99402,0.56,11.6,6.0
0.51,0.13,0.99574,0.75,11.0,6.0
0.62,0.08,0.99651,0.82,9.5,6.0
0.6,0.08,0.9949,0.58,10.5,5.0
0.55,0.1,0.99512,0.76,11.2,6.0
0.645,0.12,0.99547,0.71,10.2,5.0
0.31,0.47,0.99549,0.66,11.0,6.0
